+;+;+;+;+;+;+;;;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+
+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;;+;+;+;+;;;+;;+;;+;;+;;+;+;+;+;+;+;+;+;+;+;+;;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;+;+;+;+;+;;+;+;+;+;+;;;+;;+;+;+;;;+;+;+;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;;+;+;+;+;;;+;+;+;+;+;;;;;+;+;+;+;;;+;+;+;+;+;+
+;+;+;+;+;;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+
;+;;+;;+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;;+;;;+;+;+;
+;+;+;+;+;+;;+;;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+
;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+
+;;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;;+;+;+;+;+;+;;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;;+;+;;;+;+;;+;+;;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;;;+;+;;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;;+;+;;+;+;+;+;+;;;+;+;+;;+;;+;;+;+;+;+;+;+;;+;+;+
+;+;+;;;+;;+;+;+;+;;+;+;;+;;;+;;;;+;+;+;+;+;;;+;+;+
;+;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;;+;+
+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;;;+;+
+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;;+
